hash,i,left
0073d7cd5314b1c9fee1c989fef73107340a10db,7829,0073d7c
0073d7c4f6c59614efa9d24e324bd871cee447e2,34917,0073d7c
0750255d4f835ca88cb1ab0725ff47cdb189a89a,47093,0750255
07502550e72dc33b7cb8f6c65ad32633c2fa0af1,53845,0750255
180bb21b509a703b5e4c6678fd2ee9676bc2d9a8,3654,180bb21
180bb214a9ffd267497defc61d181f9c1c4a755c,84070,180bb21
2cf542d00bb5a5006a501b41790ce78971e2a146,43664,2cf542d
2cf542d1a0cfb6ea72a55e8d2e44915f1428d96f,96259,2cf542d
49fa89e924c2d5fbc310aff84e7215df6abd7332,33125,49fa89e
49fa89e9a4cb8f324c304c070be9366addb17342,81461,49fa89e
4f52a7f1a8efb741eda99c766f6fd1d72ef3c5eb,55250,4f52a7f
4f52a7f104a4e9992425cc57ea10bce0607b26fc,74375,4f52a7f
51fd28f50358fbd4a8a7a546699b79fbd1cc7c3f,35425,51fd28f
51fd28f4ac3e101a7cec33063183df55f3dcc5cd,44266,51fd28f
58a2b6db3a306682db90146dedff85d1c94099bf,15312,58a2b6d
58a2b6d98bfacc0925db295c88fc7dd13de585c3,70810,58a2b6d
807df82e6f63c5a73b5b43fdc6bad246efabd657,9900,807df82
807df822f5b4f5cd1bc4dc629ef592392c3bb0d8,37709,807df82
977a225948a553d06d4914b408f26a59ca677d04,13903,977a225
977a225405acf2e9eae58f1ad6896d327e4b9e4b,24444,977a225
98c8581bc8acf00da8018af69ca1fdbbf3033eac,1337,98c8581
98c858163044f9d9f8233d000436456660b056cb,94080,98c8581
ac802adde94c1bfa13b688ae3eaf9743343f801a,60989,ac802ad
ac802ad064571de24098154efe0275cac2692e06,78522,ac802ad
afb3a5188d6996b8960c1dff3dfc4ccd15511025,38832,afb3a51
afb3a51997e36ef5bad87a1feddf80ef84e3a070,46860,afb3a51
b5e989174fb3918ba1cbb11a17e6da52af3e1cbc,32644,b5e9891
b5e98910abcc57e396a89e6be1c2392ef670fab5,80271,b5e9891
c578c5b278ab563d6ed1ac27f0e7ec9c115d4be2,4249,c578c5b
c578c5b90c3a18df7817a69759da5abc23575515,94896,c578c5b
c6fd42dc1b0a5a539e8332fb54c337cc77980b1e,82024,c6fd42d
c6fd42d60f88e86b4b920533404be9a773e20597,83028,c6fd42d
d5fd36e8d83305ce5bdcfe39ad3c32ac65504ddf,3326,d5fd36e
d5fd36e4c2eb7af5623c160a4390be7d19634c94,29439,d5fd36e
e7c7163d5ed3a7e1e055170e35ce172591094f6f,27523,e7c7163
e7c716351343158e98d19916bd28f2a1748b7f93,28674,e7c7163
ea20c2d1cbab37bb6eb754373ca5c95f8ed5a2dc,4,ea20c2d
ea20c2d939fa0d9c5aa62a80524377464224f32b,60499,ea20c2d